"","from_id","to_id","travel_time_p50"
"1260","16614","3",27
"1261","16622","1",11
"1262","16622","2",19
"1263","16622","3",21
"1264","16625","1",11
"1265","16625","2",18
"1266","16625","3",20
"1267","16627","1",13
"1268","16627","2",19
"1269","16627","3",21
"1270","16630","1",15
"1271","16630","2",20
"1272","16630","3",22
"1273","16631","1",14
"1274","16631","2",19
"1275","16631","3",21
"1276","16633","1",14
"1277","16633","2",19
"1278","16633","3",21
"1279","16634","1",14
"1280","16634","2",19
"1281","16634","3",21
"1282","16635","1",14
"1283","16635","2",18
"1284","16635","3",20
"1285","16636","1",15
"1286","16636","2",19
"1287","16636","3",21
"1288","16637","1",14
"1289","16637","2",18
"1290","16637","3",21
"1291","16638","1",14
"1292","16638","2",17
"1293","16638","3",19
"1294","16639","1",14
"1295","16639","2",17
"1296","16639","3",19
"1297","16640","1",14
"1298","16640","2",17
"1299","16640","3",19
"1300","16649","1",17
"1301","16649","2",18
"1302","16649","3",20
"1303","16650","1",18
"1304","16650","2",19
"1305","16650","3",21
"1306","16651","1",19
"1307","16651","2",20
"1308","16651","3",22
"1309","16701","1",28
"1310","16701","2",6
"1311","16701","3",21
"1312","16715","1",35
"1313","16715","2",12
"1314","16715","3",27
"1315","16814","1",27
"1316","16814","2",27
"1317","16814","3",27
"1318","16815","1",28
"1319","16815","2",27
"1320","16815","3",27
"1321","16816","1",29
"1322","16816","2",28
"1323","16816","3",29
"1324","16817","1",27
"1325","16817","2",26
"1326","16817","3",27
"1327","16818","1",27
"1328","16818","2",26
"1329","16818","3",27
"1330","16826","1",24
"1331","16826","2",23
"1332","16826","3",24
"1333","16828","1",25
"1334","16828","2",25
"1335","16828","3",25
"1336","16857","1",11
"1337","16857","2",19
"1338","16857","3",21
"1339","16858","1",12
"1340","16858","2",20
"1341","16858","3",22
"1342","16859","1",13
"1343","16859","2",21
"1344","16859","3",23
"1345","16867","1",15
"1346","16867","2",20
"1347","16867","3",22
"1348","16868","1",15
"1349","16868","2",20
"1350","16868","3",22
"1351","16869","1",15
"1352","16869","2",20
"1353","16869","3",22
"1354","16870","1",14
"1355","16870","2",19
"1356","16870","3",21
"1357","16871","1",14
"1358","16871","2",18
"1359","16871","3",20
"1360","16872","1",14
"1361","16872","2",18
"1362","16872","3",20
"1363","16873","1",15
"1364","16873","2",19
"1365","16873","3",21
"1366","16874","1",14
